keyword,city,name,salary,experience,education,company,location,industry,scale,financing,description,link
java后端开发,北京,Java开发 AI 后端开发 微服务,15-20K,1-3年,大专,北京融合兴科信息科技,北京·朝阳区·西坝河,,,,岗位BOSS直聘职责：1. 负责系统的产品建设和需求开发. 参与业务需求讨论，高效高质量完成产品交付。；2. 负责解决业务使用工具等问题，提供技术⽀持；职位要求： 1. 两年以上⼯作经验，计算机基础扎实，了解微服务架构的技术挑战，并有对应的解决⽅案；； 2. 熟练掌握Java，熟悉AI工具的使用；3.  熟练掌握后端开发技术: 协议、架构、存储、缓存、搜索、安全、消息队列等 ；4. 有较好沟通能⼒，学习能力，能快速学习工具使用；,/job_detail/14084bec5557f61b0nB-0tq_GVZS.html
java后端开发,北京,《免费包住 双休 不外派》java后端开发,10-11K,经验不限,学历不限,慧教研,北京·通州区·新华大街,,,,一、【公司免费 提供住宿不收费】：一年房租2万给你省了 不香吗？（公司附近 酒店式公寓24小时热⽔. 安全. ⼲净. 舒适.可洗澡做饭…… + 公司有冰箱和微波炉可带饭……	⼆、【周六日双休】：周末双休！双休！没有大⼩周！一直双休！国家法定节假日休息。  三、【招聘要求】:1、统招大专、统招本科，计算机软件专业。2、5年以上 JAVA开发经验，责任心强、沟通表达能力、逻辑思维能力、团队合作能力突出;3、精通Spring Boot/Cloud、MyBatis、Dubbo；MySQL数据库、MongoDB数据库、掌握Redis 缓存、MQ 消息队列、Elasticsearch搜索； 四、【长期自研迭代项目简介】:大数据精准教学平台是自主研发并长期迭代的云服务、多租户、普适性的智能网络阅卷软件，此系统全面覆盖K12教育体系中教、学、考、评、测五个关键环节，通过大数据分析为K12体系中教育局、学校和家长提供服务的综合性平台。面向客户：教育科学研究院、教研室、电教馆、教育局、学校等；主要包括：答题卡在线制作、扫描识别、网上阅卷、手写识别、成绩分析、错题本、题库组卷等多种服务，满足老师、学生、家长,/job_detail/07edbb9397dcf1700nd_39m5EVpT.html
java后端开发,北京,Java 后端开发工程师（GIS 优先）,23-28K,5-10年,本科,上海介与联科技,北京·朝阳区·豆各庄,,,,一、岗位职责1.负责公司平台系统及相关项目的后端功能开发，承担核心功能、公共核心架构模块的代码编写。2.参与设计系统技术⽅案、核⼼代码开发和系统调优。3.协助团队建⽴高性能、高可靠性、⾼可用、高稳定的平台研发及项目实施，解决大数据量、系统解耦等技术问题。4.按照项目排期，按时提交稳定、高质量代码，完成开发任务。生产突发问题的排查、处理。重点、难点问题的攻关、突破。二、任职要求1.计算机相关专业，全日制本科及以上学历，5年以上后端研发工作经验。2.精通Java开发语言，熟练掌握IO、多线程开发技术，对事务、锁、并发等实现机制有深入了解。3.熟练使用SpringBoot、Spring Cloud等框架，对框架原理有一定了解。熟练掌握N a cos、Ga teWa y、Sent ine l、S e a t a、OpenFeign等Cloud开发组件。熟练掌握Skywalking等可观测平台。熟练使用ELK等全链路日志跟踪机制。4.熟练掌握Redis、Mysql、HBase、ES、Kafka、MinIO等中间件。5.熟悉和掌握常用设计模式，对软件架构、代码架构有丰富的经验和认知。6.有GIS、,/job_detail/914e6d792435cfa50nB43tu9FFdQ.html
java后端开发,北京,软件开发岗（后端开发工程师）,30-55K·20薪,经验不限,学历不限,深圳百度国际科技,北京·海淀区·上地,,,,"岗位职责1. 参与相关产品需求讨论,评审和软件设计；2. 按照项目计划，按时提交高质量代码，完成开发任务；3. 规范文档的编写、维护，以及其他与项目相关⼯作；4. 参与京东国际业务系统架构设计及项⽬开发。任职资格1. ⼤学本科以上学历，计算机或相关专业；3年以上java实际项目开发经验；有跨境系统开发经验优先；2. 有扎实的Java基础，Java多线程、并发；3. 熟悉主流开源应用框架，如Spring、iBatis、XML、JSON、Maven等开发技术；4. 熟悉设计模式、OOA/OOD；5. 熟悉关系型数据库MySQL Oracle等，SQL优化；6. 熟悉Memcached、MongoDB、Redis等；7. 熟悉分布式系统的设计和应⽤，熟悉分布式、缓存、消息、负载均衡等机制和实现；8. 热爱技术，对技术有不懈的追求，喜欢研究开源代码；9. 良好的学习能力、团队协作能力和沟通能力；善于思考，能独立分析和解决问题。符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",/job_detail/84f1f3d4aca49ae003x42N25GFVQ.html
java后端开发,北京,Java前后端开发工程师,10-12K,3-5年,本科,亿些智能,北京·海淀区·西直门,,,,kanzhun岗位职责（全栈开发）1、负责公司后台管理系统、业务系统的整体开发、迭代更新与功能优化，独立承担前后端模块的开发、测试、联调及上线工作。2、负责线上平台系统问题排查、Bug修复、性能调优，持续优化代码结构，提升代码复用性、可维护性。3、参与需求评审、技术方案讨论、代码评审，配合产品、测试团队推进项⽬落地，按时完成开发迭代任务。4、负责对接、处理客户使⽤产品过程中遇到的功能问题、系统异常及技术类反馈，快速定位问题根源，及时修复解决，做好问题复盘与跟进，保障客户正常使⽤系统，提升产品使用稳定性及客户体验。5、配合业务团队陪同客户对接、走访洽谈，负责产品技术讲解、功能演⽰，现场解答客户提出的技术疑问与业务相关问题，做好客户技术沟通与答疑对接。6、 负责客户现场产品实施、部署调试、版本升级、环境搭建等工作，保障项目顺利交付、系统稳定投产运行。任职要求：1、2-5年Java前后端全栈开发相关工作经验，能独立完成前后端模块开发与联调。2、熟练掌握Java基础语法及核心编程思想，具备扎实的前后端开发功底。3、有Ruoyi框架实战经验者优先考虑，有物联网业务经验者优先考虑。4、后端技术：熟,/job_detail/7cf723cc1b775abf0nB409q_ElBW.html
java后端开发,北京,百度外包006-Java后端开发工程师(J11494),13-14K,3-5年,本科,博彦科技承德有限公司,北京·朝阳区·朝外,,,,"任职要直聘求：""1、本科及以boss上学历，计算机、软件工程、数学等相关专业，3年以上工作经验优先2、扎实的编程基础，良好的编码习惯，熟练掌握Java、GO、Python等至少一门语⾔3、熟悉掌握后端开发技术：协议、框架、并发、缓存、数据库、⽂件存储等，对相关原理有较深⼊的理解4、熟悉k8s/docker等云原生相关技术优先，熟悉使用coding agent编程者优先5、⼯作态度积极，责任心强，善于思考，对技术有激情，有良好的产品意识，有良好的团队沟通与协作能力""岗位关键词：java后端、大模型学历要求：本科及以上经验要求：3年以上优先工作地点：北京电通大厦专业要求：计算机、软件相关工作职责：""1、负责或参与百度智能云AI原生应用内容审核后端研发，包括公有云AI原生应用产品开发运维及TOB项目交付需求研发2、负责或参与端到端软件系统设计与研发工作，包括需求分析、设计编码、部署测试、性能优化、文档编写等3、关注AI原生应用和大模型行业动态，进行技术预研，提升产品竞争力",/job_detail/a608b5f00b9d64430nB_2t-8GVtX.html
java后端开发,北京,2026届JAVA后端开发岗,20-30K,,本科,深圳某大型财产保险上市公司,北京,,,,"龙头企业、总部科技岗，后端开发岗；【关于企业】1988年诞生于深圳蛇口，是平安集团多元化发展的起点。2022年，平安产险原保险保费收入2,980亿元，同比增长10.4%，以原保险保费收入来衡量，是中国第⼆⼤财产保险公司。 成⽴35年来，平安产险坚持稳定、健康的发展战略，为个人、家庭、企业提供全方位的保险保障服务，截⾄2022年有效服务客户数超8,300万，其中服务个人客户7,834万，政府、企业和小微客户471万；旗下44家分公司及2,874余家营业网点遍布全国。 截至目前，平安产险开发、经营的主险已超过1,000种，经营业务范围涵盖机动车辆保险、责任保险、意外伤害保险、健康险、企业财产保险、农业保险、家庭财产保险、工程保险、货物运输保险、特殊风险保险、船舶保险、信用保证保险等一切法定财产保险业务及国际再保险业务。【关于岗位】后端开发岗工作职责1、负责公司系统和产品的后端开发工作，参与完成设计方案；2、负责解决系统问题，参与系统性能优化，进行代码重构等工作；3、支持与升级公司现有的微服务框架及其他中间件；4、参与调研引入符合业务场景的开源技术框架及中间件；5、参与技术预研和技术难点攻关",/job_detail/128979c5f4d96f8d0nZ82t61EVFT.html
java后端开发,北京,java后端开发工程师,20-40K·16薪,1-3年,本科,元保数科,北京·朝阳区·鸟巢,,,,1. web项目后端开发2. B端 C端需求承接落地,/job_detail/a0675268f2c7d3001Xx93ti0E1dX.html
java后端开发,北京,兼职/在线办公/资深 Java 后端开发工程师,27-35K,3-5年,本科,湾流畅游,北京·昌平区·北七家,,,,【岗位职责】主导基于 Spring Boot / Spring Cloud 的微服务架构落地，编写⾼质量、可扩展的代码。深⼊理解业务需求，负责数据库设计（MySQL/Redis）及接口规范制定。解决线上系统出现的⾼并发、数据一致性等技术难题，持续优化系统性能【任职要求】统招本科及以上学历，计算机相关专业，[3-5]年以上 Java 开发经验。Java基础扎实，精通 Spring Boot、Spring MVC、MyBatis 等主流框架，对源码有一定研究者优先。熟悉微服务架构，有 Spring Cloud (Alibaba 或 Netflix ⽣态) 实战经验，了解 Docker/K8s 容器化部署。熟悉 MySQL 数据库，具备优秀的 SQL 优化和索引设计能力；熟悉 Redis、RocketMQ/RabbitMQ 等中间件。具备良好的编码习惯（Alibaba规范）、团队协作精神，对技术有持续的热情。,/job_detail/cb222bf9f19b9de00nVz2Nu9FVFW.html
java后端开发,北京,中高级后端开发工程师（Java 方向）,25-40K·15薪,3-5年,本科,手指头教育,北京·海淀区·上地,,,,【岗位职责】1.负boss责 SaaS/APP/ ⼩程序商城的后端服务开发，参与系统架构设计与核⼼模块编码。2.处理⾼并发、高可用场景下的技术问题，保障服务稳定性与性能。3.参与技术⽅案评审，沉淀后端开发规范与组件库。【任职要求】1.3 年以上 Java 开发经验，熟悉 Spring Cloud 等微服务框架；2.有 SaaS / 电商类系统开发经验优先，能独立负责模块设计与开发；3.掌握 MySQL、Redis 等中间件，具备分布式系统开发与调优能力。,/job_detail/8aea13a997813e820nR92dm5EVdQ.html
